slang,definition,example
yas,"Used to express enthusiastic approval or praise, often in pop culture contexts.","Yas, you finally nailed the recipe!"
xd,"Represents laughter, often used in gaming or online chats.","I've got a a little plan, XD."
xd,"Represents laughter, often used in gaming or online chats.",That joke had me XD!
xd,"Represents laughter, often used in gaming or online chats.",She kept typing xd during the whole conversation.
wylin,Acting wild or out of control.,Shes wylin out here.
wylin,Acting wild or out of control.,"Get him out of here, he's wylin!"
wylin,Acting wild or out of control.,They were wylin after midnight and woke up the whole building.
wwjd,A phrase used to reflect on how to act morally or compassionately.,"In tough situations, ask yourself WWJD."
wwjd,A phrase used to reflect on how to act morally or compassionately.,"Before making a decision, think WWJD."
wwjd,A phrase used to reflect on how to act morally or compassionately.,Sometimes I have to stop and think wwjd in stressful moments.
wuf,A casual way to ask someone where they're from.,Nice to meet you! WUF?
wuf,A casual way to ask someone where they're from.,WUF? You sound like you're from the UK.
wth,"A less explicit version of WTF, expressing confusion or surprise.","Wth, I swear I left my keys right here."
wth,"A less explicit version of WTF, expressing confusion or surprise.",You like pizza? WTH.
wth,"A less explicit version of WTF, expressing confusion or surprise.",WTH is happening right now?
wtg,A phrase used to congratulate or praise someone for their achievement or success. Commonly used in informal settings to show approval.,You aced the exam? WTG!
wtg,A phrase used to congratulate or praise someone for their achievement or success. Commonly used in informal settings to show approval.,"Wtg on the promotion, you earned it."
wtg,A phrase used to congratulate or praise someone for their achievement or success. Commonly used in informal settings to show approval.,"Finally got there in the end, WTG!"
wtf,"Used to express shock, confusion, or disbelief, often in a strong or informal tone.","Wtf, I thought the assignment was due next week."
wtf,"Used to express shock, confusion, or disbelief, often in a strong or informal tone.","Why is she laying on the floor, WTF?"
wtf,"Used to express shock, confusion, or disbelief, often in a strong or informal tone.",WTF is happening right now?
woke,Being aware of social issues.,They joked that he's so woke he critiques cereal box mascots.
woke,Being aware of social issues.,He's really woke about climate change.
woke,Being aware of social issues.,"Stay woke, everyone."
woke,Being aware of social issues.,"He's so WOKE, always talking about social justice."
woke,Being aware of social issues.,We need to stay woke.
wildin,Acting wild or out of control.,He was wildin at the party.
wildin,Acting wild or out of control.,"They were wildin at lunch, laughing so loud the teacher came over."
whip,Car.,Check out my new whip.
whip,Car.,Parked the whip outside.
whip,Car.,This old whip still runs perfectly after all these years.
wavy,Cool or trendy.,Her aesthetic is super wavy and laid-back.
wavy,Cool or trendy.,That outfit is wavy.
wavy,Cool or trendy.,He was looking wavy on stage tonight.
was,A casual way to ask someone to wait for a brief moment.,"I'm not sure, WAS let me ask her."
was,A casual way to ask someone to wait for a brief moment.,"WAS, I need to check my calendar."
vibes,Good energy.,Her chaotic vibes made every hangout unpredictable.
vibes,Good energy.,I love the vibes here.
vibes,Good energy.,The summer vibes out on the beach are unmatched.
vibe check,Evaluating someones mood or the atmosphere.,That awkward silence definitely did not pass the vibe check.
vibe check,Evaluating someones mood or the atmosphere.,Vibe check: Are you good?
vibe check,Evaluating someones mood or the atmosphere.,Lets do a vibe check.
ttyl,Commonly used to end a conversation with the promise of continuing later.,"I've got to go, TTYL!"
ttyl,Commonly used to end a conversation with the promise of continuing later.,"One second I have another call coming, TTYL."
ttyl,Commonly used to end a conversation with the promise of continuing later.,"Ttyl, I'll update you when I'm back."
ttfn,A playful way of saying goodbye temporarily.,"Got to go, TTFN!"
ttfn,A playful way of saying goodbye temporarily.,"I'm heading out, ttfn!"
ttfn,A playful way of saying goodbye temporarily.,"TTFN, Gotta go pick up dinner."
tmb,A request for someone to reply via text message.,"I tagged you in that post, TMB when you see it."
tmb,A request for someone to reply via text message.,"Let me know what time works for you, TMB!"
tight,Angry or frustrated.,Why are you so tight today?
tight,Angry or frustrated.,He's tight about what happened with Joe.
tight,Angry or frustrated.,"You don't have to get tight, just explain what happened."
thx,A quick way to say “thanks” in casual conversations or texts.,Thx again - I really needed that.
thx,A quick way to say “thanks” in casual conversations or texts.,THX for helping me out!
thirsty,Desperate for attention or affection.,"Don't be thirsty, just text them normally."
thirsty,Desperate for attention or affection.,Hes so thirsty for likes.
thirsty,Desperate for attention or affection.,"He's been texting me nonstop, he's so thirsty."
thicc,Describing someone with a curvy figure.,That milkshake was thicc enough to stand the straw straight up.
thicc,Describing someone with a curvy figure.,She's so thicc.
thicc,Describing someone with a curvy figure.,That pitbull is looking thicc in that costume.
tea,Gossip or the latest news.,"So, what the tea on him?"
tea,Gossip or the latest news.,He smiled dramatically before asking for the tea.
tea,Gossip or the latest news.,"Spill the tea, I need to know what happened!"
tbh,Often used to preface a blunt opinion or honest confession.,"TBH, I don't really like sushi."
tbh,Often used to preface a blunt opinion or honest confession.,"TBH I didn't enjoy the party last night."
tbh,Often used to preface a blunt opinion or honest confession.,"Today went way better than yesterday TBH."
swerve,To avoid or move away from something.,He swerved the entire argument with one clever joke.
swerve,To avoid or move away from something.,I had to swerve to avoid the drama.
swerve,To avoid or move away from something.,She had to swerve that awkward conversation.
swag,Refers to free and unique promotional items given out at events.,"I don't know the exact answer, but here's some SWAG for the road."
swag,Refers to free and unique promotional items given out at events.,I got so much swag at the tech conference!
sus,Suspicious or questionable.,His sudden enthusiasm felt sus considering he hated the idea yesterday.
sus,Suspicious or questionable.,That sounds sus to me.
sus,Suspicious or questionable.,Why's he acting so sus all of a sudden?
stan,Obsessive fan.,I totally Stan for that band!
stan,Obsessive fan.,Im a stan for that band.
stan,Obsessive fan.,They stan the new album like it cured their problems.
stan,Obsessive fan.,I stan BTS so hard!
ssdd,Commonly used in conversations to express boredom or lack of excitement.,How's it going? SSDD.
ssdd,Commonly used in conversations to express boredom or lack of excitement.,He shrugged and said 'ssdd' about his routine.
ssdd,Commonly used in conversations to express boredom or lack of excitement.,"Nothing new here, SSDD."
sos,A call for help or assistance.,"SOS, I'm lost in the city!"
sos,A call for help or assistance.,He was acting frantic yelling SOS.
sos,A call for help or assistance.,"Sos, someone bring snacks to the study room."
sneak diss,A subtle or indirect insult.,Was that a sneak diss?
sneak diss,A subtle or indirect insult.,"The caption was a clear sneak diss at his ex, even though he denied it."
smh,"Used to express disappointment, frustration, or disbelief.","Can you believe she just got up and left? SMH."
smh,"Used to express disappointment, frustration, or disbelief.","He forgot his homework again, SMH."
smh,"Used to express disappointment, frustration, or disbelief.","Smh, I can't believe they did that."
slay,To do something exceptionally well.,"They came to slay, and they absolutely delivered."
slay,To do something exceptionally well.,You slayed that presentation.
slay,To do something exceptionally well.,You totally slayed that presentation!
slay,To do something exceptionally well.,She's slaying in that outfit tonight!
slay,To do something exceptionally well.,She slayed that outfit.
slaps,Really good.,This beat slaps.
slaps,Really good.,This new track slaps!
slaps,Really good.,"Her playlist slaps from start to finish, no skips at all."
sk8,"A shorthand way of saying “skate,” used in skateboarding or rollerblading circles.",We're going to SK8 at the park later.
sk8,"A shorthand way of saying “skate,” used in skateboarding or rollerblading circles.",Let's go Sk8 at the park this weekend.
sk8,"A shorthand way of saying “skate,” used in skateboarding or rollerblading circles.",She said she learned to sk8 by watching tutorials.
simp,Someone who does too much for someone they like.,Hes such a simp for her.
simp,Someone who does too much for someone they like.,Stop simping over her.
simp,Someone who does too much for someone they like.,"He buys her gifts every day, he's such a simp."
simp,Someone who does too much for someone they like.,His friends called him a simp for writing her a poem.
shooketh,Extremely shocked.,I am shooketh by that twist.
shooketh,Extremely shocked.,The class was collectively shooketh when the exam got canceled.
shook,Shocked or surprised.,She was shook by how good the results were.
shook,Shocked or surprised.,I was shook when I heard the news.
shade,Subtle insult.,The post threw subtle shade but still obvious if you looked closely.
shade,Subtle insult.,I was throwing shade at their outfit.
shade,Subtle insult.,She threw some serious shade at the party.
shade,Subtle insult.,He was throwing shade at his ex.
savage,"Acting fierce, confident, and unfiltered.",Her clap back to her insult was savage.
savage,"Acting fierce, confident, and unfiltered.","His comment was SAVAGE, but true."
savage,"Acting fierce, confident, and unfiltered.","That was a savage move, but honestly a deserved one."
salty,Bitter or upset.,Why are you so salty?
salty,Bitter or upset.,He's just salty because he lost the game
salty,Bitter or upset.,Don't get salty - everyone messes up sometimes.
rys,A reminder to pay attention to what is already written on the screen.,"We've been chatting for a while, RYS?"
rys,A reminder to pay attention to what is already written on the screen.,"The instructions are clear, RYS!"
rys,A reminder to pay attention to what is already written on the screen.,Rys when you get a chance.
rofl,Used to express extreme amusement or laughter.,The cat video had me ROFL for hours.
rofl,Used to express extreme amusement or laughter.,That joke had me ROFL!
rofl,Used to express extreme amusement or laughter.,She was rofl at the joke.
receipts,Proof or evidence.,"Pull up the receipts, I want to see the truth."
receipts,Proof or evidence.,Where are the receipts for your claim?
receipts,Proof or evidence.,Don't lie - I have receipts of our conversation.
qfi,Used humorously or sarcastically to highlight a foolish or nonsensical comment.,"That statement is ridiculous, QFI!"
qfi,Used humorously or sarcastically to highlight a foolish or nonsensical comment.,She told the group to qfi while trying to process everything.
qfi,Used humorously or sarcastically to highlight a foolish or nonsensical comment.,They said they'd never change their mind... QFI.
pto,"Refers to paid time off from work, where employees are still paid during their absence.",We're having a PTO meeting at the school.
pto,"Refers to paid time off from work, where employees are still paid during their absence.",I'll be taking some PTO next week.
pto,"Refers to paid time off from work, where employees are still paid during their absence.",I'm using some PTO to take a vacation.
pto,"Refers to paid time off from work, where employees are still paid during their absence.",He finally used his pto after working nonstop.
prw,Used to warn someone that their parents are nearby and to avoid certain conversations.,"I can't talk right now, PRW."
prw,Used to warn someone that their parents are nearby and to avoid certain conversations.,He typed prw after missing half the call.
prw,Used to warn someone that their parents are nearby and to avoid certain conversations.,"Can't talk about it now, PRW."
prt,A shorthand way to refer to a party in casual conversations.,Are you going to the PRT tonight?
prt,A shorthand way to refer to a party in casual conversations.,"Help spread the word, PRT at mine tomorrow!"
prt,A shorthand way to refer to a party in casual conversations.,"That plot twist from the prt made zero sense."
pressed,Angry or annoyed.,He's so pressed about the situation.
pressed,Angry or annoyed.,"Don't be pressed, it wasn't that serious."
pressed,Angry or annoyed.,"Why are you so pressed about what she said?"
pov,Refers to someone's perspective or opinion on a situation.,Pov: you're the last one to understand the joke.
pov,Refers to someone's perspective or opinion on a situation.,"From my POV, this makes the most sense."
plug,Someone who can supply something needed.,"If you need sneakers early, he's the plug."
plug,Someone who can supply something needed.,He's the plug for all the best snacks.
pita,Used to describe something annoying or frustrating.,This project is such a PITA.
pita,Used to describe something annoying or frustrating.,Dealing with this paperwork is such a pita.
pita,Used to describe something annoying or frustrating.,Driving downtown at rush hour is always a pita.
periodt,Used to emphasize the end of a statement.,"We're winning this game, periodt."
periodt,Used to emphasize the end of a statement.,"That's the best movie of all time, periodt."
periodt,Used to emphasize the end of a statement.,"And thats the truth, periodt."
otp,Used to indicate that someone is currently on a phone call.,"They're OTP, give them a second."
otp,Used to indicate that someone is currently on a phone call.,He sounded distracted because he was otp.
otp,Used to indicate that someone is currently on a phone call.,"Can't talk, I'm OTP right now."
ootd,Used to indicate a special or significant outfit.,She sends me her ootd every morning for approval.
ootd,Used to indicate a special or significant outfit.,Posting my OOTD for Instagram.
oof,An expression of sympathy.,"Oof, that must have hurt."
oof,An expression of sympathy.,That comment was such an oof that the room went silent.
oof,An expression of sympathy.,"Oof, thats tough, better luck next time."
omg,"Commonly used to express surprise, excitement, or disbelief.","OMG, you look amazing!"
omg,"Commonly used to express surprise, excitement, or disbelief.","I can't believe it actually happened, OMG!"
omg,"Commonly used to express surprise, excitement, or disbelief.",Omg this dessert is unreal.
oic,A quick way to indicate understanding in a conversation.,Oic what you meant now that I've read it properly.
oic,A quick way to indicate understanding in a conversation.,"OIC, that makes sense now."
ns,A compliment for getting a high or impressive score.,"That bowling split was tough, but NS!"
ns,A compliment for getting a high or impressive score.,"Ns, that move surprised everyone at the game."
ns,A compliment for getting a high or impressive score.,"You got 100 points, NS!"
nrn,Used when someone is unavailable to respond to a message or communication.,"I texted him last night, but he just said NRN."
nrn,Used when someone is unavailable to respond to a message or communication.,I can't give you and update - NRN.
nrn,Used when someone is unavailable to respond to a message or communication.,"Nrn, I need to finish this assignment."
npc,Used to describe people who seem to follow a script or act predictably without any autonomy.,She moved through the store like an npc.
npc,Used to describe people who seem to follow a script or act predictably without any autonomy.,"She's acting like such an NPC, just going with the flow."
npc,Used to describe people who seem to follow a script or act predictably without any autonomy.,That NPC just stared at me aimlessly.
normalize,Make something the norm.,We need to normalize mental health talks.
normalize,Make something the norm.,Let's normalize celebrating small wins instead of only big achievements.
normalize,Make something the norm.,We need to normalize self-care.
noob,Newbie or beginner.,"That player kept dying, total NOOB."
noob,Newbie or beginner.,Hes such a noob at this game.
noob,Newbie or beginner.,"Every noob starts somewhere, so don't stress."
no cap,No lie; raw truth.,"Thats the best movie, no cap."
no cap,No lie; raw truth.,"She's the funniest person in the group, no cap."
no cap,No lie; raw truth.,"No cap, she is the best player of all time."
nm,A casual way to say that nothing significant is happening.,"Nm, I figured it out myself."
nm,A casual way to say that nothing significant is happening.,"What's up? NM, just hanging out."
ngl,Frequently used in conversations to preface honesty or a blunt opinion.,"NGL, that was the best meal I've had in a while."
ngl,Frequently used in conversations to preface honesty or a blunt opinion.,"I'm kind of proud of myself today ngl."
ngl,Frequently used in conversations to preface honesty or a blunt opinion.,"NGL, that was a tough workout."
nfw,Used to express disbelief or surprise.,You got tickets to the concert? NFW!
nfw,Used to express disbelief or surprise.,That meme is online? NFW.
nfw,Used to express disbelief or surprise.,Nfw did he actually say that out loud.
nfm,Used to indicate that you don't want something being offered.,"I'll pass on dessert, NFM."
nfm,Used to indicate that you don't want something being offered.,"Nfm, just dealing with a long day."
nfm,Used to indicate that you don't want something being offered.,"I tried it, but it's NFM."
mod,"Refers to someone who moderates discussions or content in forums, chatrooms, or games.",The MOD had to step in and calm things down.
mod,"Refers to someone who moderates discussions or content in forums, chatrooms, or games.",The mod joined the chat when it got too chaotic.
meh,Expresses indifference or lack of enthusiasm about something.,"The food was MEH, not great but not terrible."
meh,Expresses indifference or lack of enthusiasm about something.,The dessert looked good but tasted meh.
meh,Expresses indifference or lack of enthusiasm about something.,"That movie was MEH, nothing special."
main character,Acting like the main character in life.,"On road trips, I fully embrace my main character moment."
main character,Acting like the main character in life.,She's living her life like she's the main character in a movie.
main character,Acting like the main character in life.,He's totally giving main character in that video.
m8,"A casual way to refer to a friend, commonly used in British slang.","How's it going, M8?"
m8,"A casual way to refer to a friend, commonly used in British slang.","Relax, m8, everything's fine."
ltns,A casual way to greet someone you haven't seen in a while.,"Ltns, we should catch up sometime."
ltns,A casual way to greet someone you haven't seen in a while.,"Wow, LTNS! How have you been?"
ltns,A casual way to greet someone you haven't seen in a while.,LTNS! How have you been?
low-key,Subtly or secretly.,Im low-key enjoying this.
low-key,Subtly or secretly.,She low-key panicked when the professor started collecting homework.
low-key,Subtly or secretly.,Im low-key worried about the test.
lol,"A common expression of amusement, often used lightly.","He tried to fix the chair and broke it worse, lol."
lol,"A common expression of amusement, often used lightly.","The movie was so funny, I couldn't stop LOL."
lol,"A common expression of amusement, often used lightly.",That cat video made me LOL!
lol,"A common expression of amusement, often used lightly.","I just spilled coffee all over my desk, LOL."
lmao,Used in online conversations to express loud laughter.,She sent me a meme that was pure lmao energy.
lmao,Used in online conversations to express loud laughter.,"Your story is hilarious, LMAO!"
lmao,Used in online conversations to express loud laughter.,LMAO that meme had me!
living rent-free,Taking up a lot of mental space.,That melody is living rent-free in my brain and won't stop.
living rent-free,Taking up a lot of mental space.,She's living rent-free in my mind.
living rent-free,Taking up a lot of mental space.,That snarky comment is living rent-free in head.
lit,"Exciting, fun, or excellent.",This party is lit.
lit,"Exciting, fun, or excellent.",The concert last night was LIT!
lit,"Exciting, fun, or excellent.",We were so LIT after that party.
lit,"Exciting, fun, or excellent.",The group hangout was lit after the big announcement dropped.
lfg,A term used in online games when searching for other players to form a group.,We're ready - lfg!
lfg,A term used in online games when searching for other players to form a group.,"Our base is under attack, LFG!"
l8r,A shorthand way of saying “later” in informal texts or conversations.,I'll catch you L8R!
l8r,A shorthand way of saying “later” in informal texts or conversations.,Catch you l8r at the usual spot.
l8r,A shorthand way of saying “later” in informal texts or conversations.,"Gotta run, see you L8R!"
l2g,Used to ask someone if they would like to go somewhere.,"That sounds great, I'm L2G!"
l2g,Used to ask someone if they would like to go somewhere.,We're all l2g if the rain stops.
l2g,Used to ask someone if they would like to go somewhere.,L2G for a coffee?
l,Loss or failure.,We took the L on that one.
l,Loss or failure.,"I forgot my wallet at home, that's an L."
l,Loss or failure.,That test was an L from start to finish.
l,Loss or failure.,We took an L today.
kk,"A playful way to check if someone is available or paying attention, often in chat.  ","Kk, I'll be there soon."
kk,"A playful way to check if someone is available or paying attention, often in chat.  ","KK, anyone home?"
kk,"A playful way to check if someone is available or paying attention, often in chat.  ","KK, I'll meet you at the restaurant."
keep it 100,To be honest and truthful.,Im just keeping it 100 with you.
keep it 100,To be honest and truthful.,He failed because he didn't keep it 100 about what he needed.
karen,Entitled or demanding woman.,We witnessed a Karen asking for a refund on something she didn't even buy there.
karen,Entitled or demanding woman.,Dont be such a Karen.
karen,Entitled or demanding woman.,"That woman asked to speak to the manager, total Karen move."
jomo,Joy Of Missing Out.,Jomo hit hard when I realized I avoided a night full of drama.
jomo,Joy Of Missing Out.,Im all about JOMO these days.
jomo,Joy Of Missing Out.,I prefer JOMO to FOMO.
irl,Commonly used in online spaces to differentiate between virtual and real-life interactions.,I didn't realize she knew me irl until she waved at the store.
irl,Commonly used in online spaces to differentiate between virtual and real-life interactions.,We should meet up IRL sometime.
irl,Commonly used in online spaces to differentiate between virtual and real-life interactions.,We finally met IRL after months of online chatting.
irl,Commonly used in online spaces to differentiate between virtual and real-life interactions.,Let's meet IRL next week.
iow,A way to rephrase or clarify a statement in simpler terms.,"Iow, it's not going to happen today."
iow,A way to rephrase or clarify a statement in simpler terms.,"IOW, we need to work faster."
iow,A way to rephrase or clarify a statement in simpler terms.,"IOW, we need to finish the project by Friday."
imo,"Used to soften a statement, making it clear that it's subjective.","IMO, that movie wasn't that great."
imo,"Used to soften a statement, making it clear that it's subjective.","IMO, that's the best coffee shop in town."
imo,"Used to soften a statement, making it clear that it's subjective.","IMO, it's best to start early."
imo,"Used to soften a statement, making it clear that it's subjective.","Imo, brunch is the superior meal."
imho,"Used to share an opinion with an added layer of humility, often used in discussions.","IMHO, the sequel was better than the original."
imho,"Used to share an opinion with an added layer of humility, often used in discussions.","IMHO, the book was better than the movie."
imho,"Used to share an opinion with an added layer of humility, often used in discussions.","Imho, you should take the opportunity."
ily,Frequently used in texting to express affection quickly.,I wrote ily at the bottom of the note.
ily,Frequently used in texting to express affection quickly.,"Goodnight, ILY!"
ilu,Common in texting between close friends or partners.,"ILU, see you soon!"
ilu,Common in texting between close friends or partners.,"You mean so much to me, ILU!"
ilu,Common in texting between close friends or partners.,I left a note saying ilu on the counter.
idc,Used to indicate indifference or lack of preference in a casual conversation.,"You can pick the movie, IDC."
idc,Used to indicate indifference or lack of preference in a casual conversation.,IDC what we eat for dinner.
ic,Common in online chats or texts to indicate comprehension.,He replied with 'ic' even though he definitely didn't.
ic,Common in online chats or texts to indicate comprehension.,"IC, that makes sense now."
ic,Common in online chats or texts to indicate comprehension.,"Oh, IC what you mean now."
ib,Used to announce your return after being away for a short time.,Missed anything while I was gone? IB!
ib,Used to announce your return after being away for a short time.,She replied ib before explaining what went wrong.
ib,Used to announce your return after being away for a short time.,"I had to step out, but IB now."
hypebeast,"Someone obsessed with fashion, especially streetwear.",Hes such a hypebeast.
hypebeast,"Someone obsessed with fashion, especially streetwear.",Her closet screams hypebeast with all the streetwear brands.
hype,Intense excitement.,Don't believe the hype until you try it yourself.
hype,Intense excitement.,The hype is real.
hype,Intense excitement.,She hyped us up for this movie.
hits different,Something that resonates on a deep level.,Movies just hit different when you watch them alone.
hits different,Something that resonates on a deep level.,That song hits different.
hits different,Something that resonates on a deep level.,This song hits different at night.
high-key,Emphatically or openly.,Im high-key loving this weather.
high-key,Emphatically or openly.,I high-key love this song.
high-key,Emphatically or openly.,Im high-key excited for this.
high-key,Emphatically or openly.,He's high-key better at this game than he pretends to be.
hb,Used when someone leaves briefly and you want them to return quickly.,"Hb, I just woke up."
hb,Used when someone leaves briefly and you want them to return quickly.,"Thanks for the hug, HB!"
hb,Used when someone leaves briefly and you want them to return quickly.,"I'll be waiting, HB!"
hawt,Used to wish someone an excellent day.,He thinks he's hawt stuff now.
hawt,Used to wish someone an excellent day.,Take care and HAWT!
hawt,Used to wish someone an excellent day.,That outfit is so HAWT!
gucci,Good or cool.,Everythings Gucci.
gucci,Good or cool.,"Everything is Gucci, don't worry."
gucci,Good or cool.,She told me it was all gucci and not to stress about it.
gs,A compliment given in sports or gaming for a well-executed shot or action.,"Nice play, GS!"
gs,A compliment given in sports or gaming for a well-executed shot or action.,That was a GS during the game!
gs,A compliment given in sports or gaming for a well-executed shot or action.,"Gs, I'll talk to you tomorrow."
gr8,Frequently used in texting to express enthusiasm or satisfaction.,We had a gr8 time at the festival.
gr8,Frequently used in texting to express enthusiasm or satisfaction.,That movie was GR8!
goat,Greatest Of All Time.,Tom Brady is the GOAT.
goat,Greatest Of All Time.,"That player is the GOAT, no one does it like him!"
goat,Greatest Of All Time.,That recipe is the goat - it never fails.
gn,Commonly used in texting or online chats when saying goodbye before bed.,"Gn, see you in the morning."
gn,Commonly used in texting or online chats when saying goodbye before bed.,"I'm heading to bed, GN!"
gn,Commonly used in texting or online chats when saying goodbye before bed.,"It's late, GN!"
gmta,Typically used in friendly conversations to acknowledge a shared thought or action.,We ordered the same thing! GMTA.
gmta,Typically used in friendly conversations to acknowledge a shared thought or action.,He finished my sentence and said gmta with a grin.
gmta,Typically used in friendly conversations to acknowledge a shared thought or action.,"You ordered the same thing as me, GMTA!"
gmta,Typically used in friendly conversations to acknowledge a shared thought or action.,You bought the same shoes as me? GMTA!
glow up,A significant improvement in appearance or style.,She had a major glow-up over the summer.
glow up,A significant improvement in appearance or style.,The living room got a glow up with just a few plants.
glow up,A significant improvement in appearance or style.,She really had a glow up since high school.
ghosting,Suddenly cutting off all communication with someone.,Ghosting someone instead of communicating just makes things worse.
ghosting,Suddenly cutting off all communication with someone.,"We were talking for weeks, and then she just ghosted me."
ghosting,Suddenly cutting off all communication with someone.,He ghosted me after our date.
gg,Frequently used in gaming culture to acknowledge a well-played game.,"That was a tough match, GG everyone!"
gg,Frequently used in gaming culture to acknowledge a well-played game.,"It's late, GG!"
gg,Frequently used in gaming culture to acknowledge a well-played game.,"That was a tough match, GG!"
gg,Frequently used in gaming culture to acknowledge a well-played game.,He rage‑quit instead of saying gg like a decent player.
gg,Frequently used in gaming culture to acknowledge a well-played game.,"How's it going, GG?"
gassed up,Feeling excited or confident.,She gassed me up before my presentation and it actually helped.
gassed up,Feeling excited or confident.,Im so gassed up for the concert.
gassed up,Feeling excited or confident.,Im so gassed up for the concert.
gas,A polite way to ask if someone has a moment to talk or assist with something.,"GAS, how's everyone doing today?"
gas,A polite way to ask if someone has a moment to talk or assist with something.,"Hey, GAS? I need some help."
gas,A polite way to ask if someone has a moment to talk or assist with something.,His freestyle last night was absolute gas.
gal,Often used in a dismissive or sarcastic tone.,You're still talking about that? GAL!
gal,Often used in a dismissive or sarcastic tone.,He met a gal who shared all his hobbies.
gal,Often used in a dismissive or sarcastic tone.,"All you do is play video games, GAL!"
g9,"Similar to “GN,” used in casual text conversations.","I'm signing off, G9!"
g9,"Similar to “GN,” used in casual text conversations.",She gave a thumbs-up and said g9 before signing off.
g2g,Frequently used in text messaging or online chats to quickly exit a conversation.,"I'm g2g, talk later."
g2g,Frequently used in text messaging or online chats to quickly exit a conversation.,"Sorry, G2G! Talk later!"
g2g,Frequently used in text messaging or online chats to quickly exit a conversation.,"I'm late for my meeting, G2G."
g,"Indicates a smile or grin, often in response to something funny or amusing.",That joke made me G.
g,"Indicates a smile or grin, often in response to something funny or amusing.","She told a funny story, I had to G."
g,"Indicates a smile or grin, often in response to something funny or amusing.",She calls everyone g when she's in a good mood.
fyi,Common in professional and casual communication to relay updates or reminders.,"FYI, the meeting is tomorrow at 3 PM."
fyi,Common in professional and casual communication to relay updates or reminders.,"FYI, the meeting has been moved to 3 PM."
fyi,Common in professional and casual communication to relay updates or reminders.,"Just fyi, parking is terrible there."
fwiw,Often used to share advice or opinions that may be helpful but aren't guaranteed to be important.,He added 'fwiw' before giving his honest opinion.
fwiw,Often used to share advice or opinions that may be helpful but aren't guaranteed to be important.,"FWIW, I think your idea is great."
fwiw,Often used to share advice or opinions that may be helpful but aren't guaranteed to be important.,"FWIW, I think you should go for it."
fomo,Fear of Missing Out; anxiety about missing something.,I have FOMO from missing that party.
fomo,Fear of Missing Out; anxiety about missing something.,I'm staying home but the fomo is real.
fomo,Fear of Missing Out; anxiety about missing something.,I have major FOMO after seeing everyone's vacation pics.
fomo,Fear of Missing Out; anxiety about missing something.,"I have such FOMO, everyone's going to that concert except me."
flex,To show off or boast.,"That was a weird flex, but okay."
flex,To show off or boast.,Hes flexing his new phone.
flex,To show off or boast.,Hes flexing his new watch.
flex,To show off or boast.,Hes always flexing his new car.
flex,To show off or boast.,He's flexing his new car all over social media.
fire,Really good or excellent.,That song is fire.
fire,Really good or excellent.,That joke she made was straight fire.
fire,Really good or excellent.,That song is fire.
fire,Really good or excellent.,This pizza is fire.
finna,"Fixing to, about to.",We're finna leave before the place gets crowded.
finna,"Fixing to, about to.",Im finna go now.
finna,"Fixing to, about to.",I'm finna head out.
finna,"Fixing to, about to.","I'm finna grab some food, you want anything?"
finesse,To handle something skillfully.,He finessed his way into the club.
finesse,To handle something skillfully.,They always manage to finesse the best deals somehow.
finesse,To handle something skillfully.,He finessed his way in.
