slang,definition,example
finesse,To handle something skillfully.,He finessed his way into the club.
finesse,To handle something skillfully.,He finessed his way into the VIP section.
finesse,To handle something skillfully.,He finessed his way in.
lit,"Exciting, fun, or excellent.",We were so LIT after that party.
lit,"Exciting, fun, or excellent.",The concert last night was LIT!
lit,"Exciting, fun, or excellent.",This party is lit.
lit,"Exciting, fun, or excellent.",That party was lit.
lit,"Exciting, fun, or excellent.",That party was lit!
hits different,Something that resonates on a deep level.,This song hits different at night.
hits different,Something that resonates on a deep level.,That song hits different.
living rent-free,Taking up a lot of mental space.,Shes living rent-free in my mind.
living rent-free,Taking up a lot of mental space.,That comment is living rent-free in my mind.
living rent-free,Taking up a lot of mental space.,Shes living rent-free in my mind.
fire,Really good or excellent.,That song is fire.
fire,Really good or excellent.,This pizza is fire.
fire,Really good or excellent.,That song is fire.
slaps,Really good.,This new track slaps!
slaps,Really good.,This beat slaps.
slaps,Really good.,This beat slaps hard.
normalize,Make something the norm.,We need to normalize self-care.
normalize,Make something the norm.,We need to normalize mental health talks.
normalize,Make something the norm.,We need to normalize self-care.
hype,Intense excitement.,The hype is real.
hype,Intense excitement.,The hype is real for this movie.
hype,Intense excitement.,The hype is real.
cancelled,Publicly denounced and rejected.,She got cancelled after that post.
cancelled,Publicly denounced and rejected.,Shes cancelled after that scandal.
cancelled,Publicly denounced and rejected.,Shes cancelled after that scandal.
chill,Relaxed or easy-going.,Im just chilling today.
chill,Relaxed or easy-going.,Im just chilling today.
chill,Relaxed or easy-going.,Im just chilling today.
big yikes,Something extremely embarrassing or cringeworthy.,She wore the same dress as the bride at the wedding? Big yikes.
big yikes,Something extremely embarrassing or cringeworthy.,That was a big yikes moment.
flex,To show off or boast.,Hes flexing his new watch.
flex,To show off or boast.,He’s flexing his new car all over social media.
flex,To show off or boast.,Hes flexing his new phone.
flex,To show off or boast.,Hes always flexing his new car.
simp,Someone who does too much for someone they like.,Hes such a simp for her.
simp,Someone who does too much for someone they like.,Stop simping over her.
simp,Someone who does too much for someone they like.,"He buys her gifts every day, he’s such a simp."
high-key,Emphatically or openly.,Im high-key loving this weather.
high-key,Emphatically or openly.,Im high-key excited for this.
high-key,Emphatically or openly.,I high-key love this song.
gucci,Good or cool.,"Everything is Gucci, don’t worry."
gucci,Good or cool.,Everythings Gucci.
gucci,Good or cool.,Everythings Gucci here.
gucci,Good or cool.,Everything’s GUCCI here.
l,Loss or failure.,"I forgot my wallet at home, that’s an L."
l,Loss or failure.,We took the L on that one.
l,Loss or failure.,We took an L today.
bounce,To leave or exit.,"Im bouncing, see you later."
bounce,To leave or exit.,Im gonna bounce now.
bounce,To leave or exit.,"Im bouncing, see you later."
thicc,Describing someone with a curvy figure.,Shes so thicc.
thicc,Describing someone with a curvy figure.,Shes so thicc.
thicc,Describing someone with a curvy figure.,Shes so th
main character,Acting like the main character in life.,She’s living her life like she’s the main character in a movie.
main character,Acting like the main character in life.,Shes totally giving main character vibes.
keep it 100,To be honest and truthful.,Im just keeping it 100 with you.
keep it 100,To be honest and truthful.,Im just keeping it 100 with you.
facts,Used to agree with something true.,Pizza is the best food ever. Facts.
facts,Used to agree with something true.,Thats facts.
gassed up,Feeling excited or confident.,Im so gassed up for the concert.
gassed up,Feeling excited or confident.,Im so gassed up for the concert.
bodega,"A small grocery store, typically in an urban area.",Im heading to the bodega.
bodega,"A small grocery store, typically in an urban area.",Im heading to the bodega.
hypebeast,"Someone obsessed with fashion, especially streetwear.",Hes such a hypebeast.
hypebeast,"Someone obsessed with fashion, especially streetwear.",Hes such a hypebeast.
plug,Someone who can supply something needed.,Hes the plug for all the best snacks.
plug,Someone who can supply something needed.,Hes the plug for all the best snacks.
no cap,No lie; truth.,"Thats the best movie, no cap."
no cap,No lie; truth.,"Thats the best movie, no cap."
vibe check,Evaluating someones mood or the atmosphere.,Vibe check: Are you good?
vibe check,Evaluating someones mood or the atmosphere.,Lets do a vibe check.
sneak diss,A subtle or indirect insult.,Was that a sneak diss?
sneak diss,A subtle or indirect insult.,Was that a sneak diss?
stay woke,"Stay aware, especially of social issues.",Stay woke about whats happening.
stay woke,"Stay aware, especially of social issues.",Stay woke about whats happening.
clap back,"A quick, sharp, and witty retort.",That clap back was on point.
clap back,"A quick, sharp, and witty retort.",That clap back was savage.
finna,"Fixing to, about to.","I’m finna grab some food, you want anything?"
finna,"Fixing to, about to.",I’m finna head out.
finna,"Fixing to, about to.",Im finna go now.
low-key,Subtly or secretly.,Im low-key worried about the test.
low-key,Subtly or secretly.,Im low-key enjoying this.
shook,Shocked or surprised.,I was shook when I heard the news.
shook,Shocked or surprised.,I was shook by the news.
shook,Shocked or surprised.,I was shook when I found out the news.
yolo,You Only Live Once; a call to take risks.,"Im gonna do it, YOLO!"
yolo,You Only Live Once; a call to take risks.,Let’s take the trip—YOLO!
goat,Greatest Of All Time.,That player is the GOAT of basketball!
goat,Greatest Of All Time.,Tom Brady is the GOAT.
goat,Greatest Of All Time.,Messi is the goat of football.
goat,Greatest Of All Time.,Jordan is the GOAT.
spill the tea,To share gossip or the latest news.,"Come on, spill the tea."
spill the tea,To share gossip or the latest news.,"Come on, spill the tea."
unbothered,Not caring; unaffected.,Shes completely unbothered by the hate.
unbothered,Not caring; unaffected.,Shes completely unbothered by the hate.
zoomies,"Sudden burst of energy, often used to describe pets.",My dog has the zoomies.
zoomies,"Sudden burst of energy, often used to describe pets.",My dog has the zoomies.
ghosting,Suddenly cutting off all communication with someone.,"We were talking for weeks, and then she just ghosted me."
ghosting,Suddenly cutting off all communication with someone.,He ghosted me after our date.
dope,Cool or excellent.,That jacket is dope.
dope,Cool or excellent.,That outfit is dope.
karen,Entitled or demanding woman.,Dont be such a Karen.
karen,Entitled or demanding woman.,Shes such a Karen.
karen,Entitled or demanding woman.,"That woman asked to speak to the manager, total Karen move."
zooted,Under the influence.,Hes zooted right now.
zooted,Under the influence.,Hes zooted right now.
shade,Subtle insult.,Shes throwing shade at her ex.
shade,Subtle insult.,She threw some serious shade at the party.
shade,Subtle insult.,She was throwing shade at my outfit.
stan,Obsessive fan.,Im a stan for that band.
stan,Obsessive fan.,I totally Stan for that band!
stan,Obsessive fan.,I stan BTS so hard!
sus,Suspicious or questionable.,That seems sus.
sus,Suspicious or questionable.,That sounds sus to me.
sus,Suspicious or questionable.,Why’s he acting so sus all of a sudden?
clout,Influence or power.,Hes just doing it for the clout.
clout,Influence or power.,Hes just doing it for the clout.
receipts,Proof or evidence.,Show me the receipts for your claims.
receipts,Proof or evidence.,Where are the receipts for your claim?
pressed,Angry or annoyed.,Hes so pressed about the situation.
pressed,Angry or annoyed.,Hes so pressed about the situation.
wylin,Acting wild or out of control.,Shes wylin out here.
wylin,Acting wild or out of control.,Shes wylin out here.
resonate,Something that deeply connects or makes sense.,That quote really resonates with me.
resonate,Something that deeply connects or makes sense.,That quote really resonates with me.
shooketh,Extremely shocked.,I am shooketh by that twist.
shooketh,Extremely shocked.,I am shooketh by that twist.
wavy,Cool or trendy.,That outfit is wavy.
wavy,Cool or trendy.,That outfit is wavy.
whip,Car.,Check out my new whip.
whip,Car.,Check out my new whip.
wildin,Acting wild or out of control.,He was wildin at the party.
wildin,Acting wild or out of control.,He was wildin at the party.
savage,"Acting fierce, confident, and unfiltered.","His comment was SAVAGE, but true."
savage,"Acting fierce, confident, and unfiltered.",Her clap back was savage.
cap,A lie or something untrue.,"He said he’s a millionaire, but that’s cap."
cap,A lie or something untrue.,"Thats cap, you didnt do that."
glow up,A significant improvement in appearance or style.,She had a major glow-up over the summer.
glow up,A significant improvement in appearance or style.,She really had a glow up since high school.
cringe,Embarrassing or awkward.,That performance was so cringe.
cringe,Embarrassing or awkward.,That video was cringe.
dank,"High-quality, especially used for memes.",That meme is dank.
dank,"High-quality, especially used for memes.",That meme is so dank!
dm,Direct Message on social media.,I’ll DM you the details later.
dm,Direct Message on social media.,It DM whether we go now or later.
dm,Direct Message on social media.,Our DM is preparing a new campaign for tonight.
dm,Direct Message on social media.,Ill DM you the details.
dm,Direct Message on social media.,Can you DM a favor and pass me that?
fomo,Fear of Missing Out; anxiety about missing something.,"I have such FOMO, everyone’s going to that concert except me."
fomo,Fear of Missing Out; anxiety about missing something.,I have major FOMO after seeing everyone’s vacation pics.
fomo,Fear of Missing Out; anxiety about missing something.,I have FOMO from missing that party.
wig,A reaction to something surprising or shocking.,"That performance was amazing, wig!"
wig,A reaction to something surprising or shocking.,My wig was snatched by that performance.
noob,Newbie or beginner.,"That player kept dying, total NOOB."
noob,Newbie or beginner.,Hes such a noob at this game.
periodt,Used to emphasize the end of a statement.,"That’s the best movie of all time, periodt."
periodt,Used to emphasize the end of a statement.,"And thats the truth, periodt."
bet,Used to confirm something or agree.,"Bet, Ill be there."
bet,Used to confirm something or agree.,You want to meet at 6? Bet.
thirsty,Desperate for attention or affection.,Hes so thirsty for likes.
thirsty,Desperate for attention or affection.,"He’s been texting me nonstop, he’s so thirsty."
tea,Gossip or the latest news.,"Spill the tea, I need to know what happened!"
tea,Gossip or the latest news.,"Spill the TEA, I want to hear all the details!"
tea,Gossip or the latest news.,"Spill the tea, what happened?"
gg,Frequently used in gaming culture to acknowledge a well-played game.,"That was a tough match, GG!"
gg,Frequently used in gaming culture to acknowledge a well-played game.,"It’s late, GG!"
gg,Frequently used in gaming culture to acknowledge a well-played game.,"That was a tough match, GG everyone!"
gg,Frequently used in gaming culture to acknowledge a well-played game.,"How’s it going, GG?"
lol,"A common expression of amusement, often used lightly.","I just spilled coffee all over my desk, LOL."
lol,"A common expression of amusement, often used lightly.",That cat video made me LOL!
lol,"A common expression of amusement, often used lightly.","The movie was so funny, I couldn’t stop LOL."
lol,"A common expression of amusement, often used lightly.","Miss you, LOL!"
bf,Refers to a romantic partner who is male.,I’m meeting my BF for dinner.
bf,Refers to a romantic partner who is male.,I totally had a BF during that meeting.
bf,Refers to a romantic partner who is male.,My BF and I have known each other for years.
imo,"Used to soften a statement, making it clear that it’s subjective.","IMO, that movie wasn’t that great."
imo,"Used to soften a statement, making it clear that it’s subjective.","IMO, that’s the best coffee shop in town."
imo,"Used to soften a statement, making it clear that it’s subjective.","IMO, it’s best to start early."
sb,Refers to replying to someone’s Snap on Snapchat.  ,I’ll SB when I get your message.
sb,Refers to replying to someone’s Snap on Snapchat.  ,The project SB done by Friday.
sb,Refers to replying to someone’s Snap on Snapchat.  ,"You sent me a picture of your smile, SB!"
o,Used to refer to the opposing player or team in a game or competition.  ,We’re facing a tough O in the next round.
o,Used to refer to the opposing player or team in a game or competition.  ,"Sending you O, hope you feel better soon!"
o,Used to refer to the opposing player or team in a game or competition.  ,"Mission complete, O."
af,Used to refer to the playful tradition of pulling pranks on April 1st.,I’m tired af after that workout.
af,Used to refer to the playful tradition of pulling pranks on April 1st.,"His AF was too high in that game, he played too aggressively."
af,Used to refer to the playful tradition of pulling pranks on April 1st.,"Got you good with that prank, AF!"
af,Used to refer to the playful tradition of pulling pranks on April 1st.,That was cool AF!
irl,Commonly used in online spaces to differentiate between virtual and real-life interactions.,Let’s meet IRL next week.
irl,Commonly used in online spaces to differentiate between virtual and real-life interactions.,We finally met IRL after months of online chatting.
irl,Commonly used in online spaces to differentiate between virtual and real-life interactions.,We should meet up IRL sometime.
fbf,"Used on social media to post old photos or memories, typically on Fridays.","Here’s a pic from my trip last year, #FBF."
fbf,"Used on social media to post old photos or memories, typically on Fridays.","We’re FBFs, but we haven’t met in person."
fbf,"Used on social media to post old photos or memories, typically on Fridays.","Pizza and wings, time for some FBF!"
pto,"Refers to paid time off from work, where employees are still paid during their absence.  ",I’m using some PTO to take a vacation.
pto,"Refers to paid time off from work, where employees are still paid during their absence.  ",I’ll be taking some PTO next week.
pto,"Refers to paid time off from work, where employees are still paid during their absence.  ",We’re having a PTO meeting at the school.
cb,A short break during work or study to grab coffee.,"I’m heading out for a CB, anyone joining?"
cb,A short break during work or study to grab coffee.,Let’s take a quick CB and catch up.
cb,A short break during work or study to grab coffee.,That party last night was CB!
prt,A shorthand way to refer to a party in casual conversations.,Are you going to the PRT tonight?
prt,A shorthand way to refer to a party in casual conversations.,Are you coming to the PRT tonight?
prt,A shorthand way to refer to a party in casual conversations.,"Help spread the word, PRT!"
nm,A casual way to say that nothing significant is happening.  ,"What’s up? NM, just hanging out."
nm,A casual way to say that nothing significant is happening.  ,"Wait, NM, I found the answer."
nm,A casual way to say that nothing significant is happening.  ,"You played that card well, NM!"
gmta,Typically used in friendly conversations to acknowledge a shared thought or action.,You bought the same shoes as me? GMTA!
gmta,Typically used in friendly conversations to acknowledge a shared thought or action.,We ordered the same thing! GMTA.
gmta,Typically used in friendly conversations to acknowledge a shared thought or action.,"You ordered the same thing as me, GMTA!"
bb,Tells someone you’ll return soon.,"I’m stepping out, BB in 10."
bb,Tells someone you’ll return soon.,Big data feels like BB is watching.
bb,Tells someone you’ll return soon.,"Hey BB, miss you!"
aa,Refers to the organization that helps people struggling with alcohol addiction.,He’s been attending AA meetings for a year now.
aa,Refers to the organization that helps people struggling with alcohol addiction.,See the AA instructions for details.
aa,Refers to the organization that helps people struggling with alcohol addiction.,"If you’re unsure, just AA the manager."
z,"Refers to the number zero, often used to indicate failure or nothing.",I scored a Z on that test.
z,"Refers to the number zero, often used to indicate failure or nothing.","I’m exhausted, time for Z."
z,"Refers to the number zero, often used to indicate failure or nothing.",That’s what I Z.
cu,Frequently used in online chats or texts as a casual farewell.,"It was fun hanging out, CU later!"
cu,Frequently used in online chats or texts as a casual farewell.,CU later!
cu,Frequently used in online chats or texts as a casual farewell.,I’ll CU after work.
p2p,Used in parenting communities to describe conversations between parents.  ,It’s nice to have a P2P discussion about school events.
p2p,Used in parenting communities to describe conversations between parents.  ,P2P sharing is common in online networks.
p2p,Used in parenting communities to describe conversations between parents.  ,"This game is P2P, so you need a subscription."
dl,A shorthand version of download.,The file is taking forever to DL.
dl,A shorthand version of download.,"Keep this on the DL, it’s a secret."
dl,A shorthand version of download.,"I clicked the article, but it was a DL."
b4n,Common in online communities to remove disruptive individuals.,That troll got a BAN from the server.
b4n,Common in online communities to remove disruptive individuals.,"Heading out, B4N!"
b4n,Common in online communities to remove disruptive individuals.,"Gotta go, B4N!"
fc,Commonly used in texting to wish for a positive outcome.,"I applied for the job, FC!"
fc,Commonly used in texting to wish for a positive outcome.,FC that I get the job!
fc,Commonly used in texting to wish for a positive outcome.,"I’ve got an FC today, can’t take any more meetings."
cul8r,Common in texting or online messaging.,"Got to go, CUL8R!"
cul8r,Common in texting or online messaging.,"Talk to you soon, CUL8R!"
cya,Frequently used in informal conversations.,CYA tomorrow!
cya,Frequently used in informal conversations.,"It’s late, CYA!"
faq,Used in customer service or informational contexts to provide answers to common queries.,Check the FAQ before you ask questions.
faq,Used in customer service or informational contexts to provide answers to common queries.,Check out the FAQ before you ask any questions.
gal,Often used in a dismissive or sarcastic tone.,You’re still talking about that? GAL!
gal,Often used in a dismissive or sarcastic tone.,"All you do is play video games, GAL!"
fwiw,Often used to share advice or opinions that may be helpful but aren’t guaranteed to be important.,"FWIW, I think you should go for it."
fwiw,Often used to share advice or opinions that may be helpful but aren’t guaranteed to be important.,"FWIW, I think your idea is great."
fyi,Common in professional and casual communication to relay updates or reminders.,"FYI, the meeting has been moved to 3 PM."
fyi,Common in professional and casual communication to relay updates or reminders.,"FYI, the meeting is tomorrow at 3 PM."
btw,Common in both casual and professional conversations to introduce new information.,"BTW, I’ll be late to the party."
btw,Common in both casual and professional conversations to introduce new information.,"BTW, did you see the new episode?"
gn,Commonly used in texting or online chats when saying goodbye before bed.,"It’s late, GN!"
gn,Commonly used in texting or online chats when saying goodbye before bed.,"I’m heading to bed, GN!"
gr8,Frequently used in texting to express enthusiasm or satisfaction.,That party was GR8!
gr8,Frequently used in texting to express enthusiasm or satisfaction.,That movie was GR8!
g9,"Similar to “GN,” used in casual text conversations.","I’m signing off, G9!"
g9,"Similar to “GN,” used in casual text conversations.",That idea is G9!
ic,Common in online chats or texts to indicate comprehension.,"IC, that makes sense now."
ic,Common in online chats or texts to indicate comprehension.,"Oh, IC what you mean now."
ilu,Common in texting between close friends or partners.,"You mean so much to me, ILU!"
ilu,Common in texting between close friends or partners.,"ILU, see you soon!"
imho,"Used to share an opinion with an added layer of humility, often used in discussions.","IMHO, the sequel was better than the original."
imho,"Used to share an opinion with an added layer of humility, often used in discussions.","IMHO, the book was better than the movie."
iow,A way to rephrase or clarify a statement in simpler terms.,"IOW, we need to finish the project by Friday."
iow,A way to rephrase or clarify a statement in simpler terms.,"IOW, we need to work faster."
kiss,A reminder to keep things simple and straightforward.,Let’s just KISS this idea and avoid overcomplicating it.
kiss,A reminder to keep things simple and straightforward.,Remember the KISS principle while writing the report.
b4,Frequently used in texts and informal writing to save time.,I need to finish this B4 I go out.
b4,Frequently used in texts and informal writing to save time.,Let’s meet B4 the event.
bbl,Common in texting and online conversations when someone needs to leave temporarily.,"I’m stepping out, BBL."
bbl,Common in texting and online conversations when someone needs to leave temporarily.,"I have to run some errands, BBL."
brt,Commonly used to communicate proximity in physical meetups or digital collaborations.,"Just parking, BRT!"
brt,Commonly used to communicate proximity in physical meetups or digital collaborations.,"On my way, BRT!"
dtr,Used in dating to clarify whether a relationship is serious or casual.,"We need to DTR soon, I need to know where we stand."
dtr,Used in dating to clarify whether a relationship is serious or casual.,"We need to DTR, are we just friends or more?"
dd,A term of affection used to refer to one’s daughter.,My DD is starting school this year.
dd,A term of affection used to refer to one’s daughter.,Make sure you do your DD before investing.
ayw,"A way to tell someone to continue what they were doing, often used after an interruption.","It’s all good now, AYW."
ayw,"A way to tell someone to continue what they were doing, often used after an interruption.",I’ll do it AYW.
g2g,Frequently used in text messaging or online chats to quickly exit a conversation.,"Sorry, G2G! Talk later!"
g2g,Frequently used in text messaging or online chats to quickly exit a conversation.,"I’m late for my meeting, G2G."
ynk,Commonly used in conversations about future possibilities or unknown outcomes.,"I might move abroad one day, YNK."
ynk,Commonly used in conversations about future possibilities or unknown outcomes.,"We might win the lottery, YNK!"
csl,Common in texting or online conversations to emphasize uncontrollable laughter.,"That joke was hilarious, CSL!"
csl,Common in texting or online conversations to emphasize uncontrollable laughter.,"That joke was hilarious, I CSL!"
wc,A simple way to say welcome in response to thanks.,"Thanks for the invite, WC!"
wc,A simple way to say welcome in response to thanks.,"I missed the meeting, but WC?"
ssdd,Commonly used in conversations to express boredom or lack of excitement.,How’s it going? SSDD.
ssdd,Commonly used in conversations to express boredom or lack of excitement.,"Nothing new here, SSDD."
wywh,Often sent from vacation spots or during fun events.,"The beach is amazing, WYWH!"
wywh,Often sent from vacation spots or during fun events.,"This vacation is amazing, WYWH!"
otp,Used to indicate that someone is currently on a phone call.  ,"Can’t talk, I’m OTP right now."
otp,Used to indicate that someone is currently on a phone call.  ,They’re my favorite OTP from the show.
brb,Used in texting or online chats for short breaks.,"Need to grab my phone, BRB.”"
brb,Used in texting or online chats for short breaks.,"Need to grab something, BRB."
ily,Frequently used in texting to express affection quickly.,"Goodnight, ILY!"
ily,Frequently used in texting to express affection quickly.,"Goodnight, ILY!"
awol,Refers to someone being absent without explanation.,He’s been AWOL for a few days now.
awol,Refers to someone being absent without explanation.,He went AWOL during the meeting.
was,A casual way to ask someone to wait for a brief moment.,"WAS, I need to check my calendar."
was,A casual way to ask someone to wait for a brief moment.,"I’m not sure, just taking a WAS."
afk,Used in online gaming or chats to signal that you’re stepping away.,"I’ll be AFK for 10 minutes, need to take a break."
afk,Used in online gaming or chats to signal that you’re stepping away.,"I’ll be AFK for a few minutes, need a break."
atm,Commonly used in texting and online chats to describe current activity.,"I’m busy atm, can we talk later?"
atm,Commonly used in texting and online chats to describe current activity.,I’m really busy ATM.
a3,Used to express flexibility or enthusiasm.,"Let’s meet up, I’m A3."
a3,Used to express flexibility or enthusiasm.,"Let me know when you’re free, I’m A3!"
bak,Often used in online gaming or work settings.,"I’m BAK, what did I miss?"
bak,Often used in online gaming or work settings.,"BRB, BAK in 5."
bbs,Used for brief absences in conversations.,"Grabbing a snack, BBS."
bbs,Used for brief absences in conversations.,"I’m taking a quick break, BBS."
bfn,Often used when ending a conversation with the expectation of reconnecting later.,"Got to run, BFN!"
bfn,Often used when ending a conversation with the expectation of reconnecting later.,"Got to go, BFN!"
lmao,Used in online conversations to express loud laughter.,That meme had me LMAO!
lmao,Used in online conversations to express loud laughter.,"Your story is hilarious, LMAO!"
pita,Used to describe something annoying or frustrating.,Dealing with this paperwork is such a PITA.
pita,Used to describe something annoying or frustrating.,This project is such a PITA.
ltns,A casual way to greet someone you haven’t seen in a while.,LTNS! How have you been?
ltns,A casual way to greet someone you haven’t seen in a while.,"Wow, LTNS! How have you been?"
tmb,A request for someone to reply via text message.,"Let me know what time works for you, TMB!"
tmb,A request for someone to reply via text message.,"I tagged you in that post, TMB when you see it."
om,A casual or affectionate term for one’s father.  ,I’m going fishing with my OM this weekend.
om,A casual or affectionate term for one’s father.  ,"OM, I can’t believe that just happened!"
bff,"Refers to someone who is a very close friend, often with the promise of lifelong friendship.",Can’t wait to hang out with my BFF this weekend!
bff,"Refers to someone who is a very close friend, often with the promise of lifelong friendship.","She’s my BFF, we tell each other everything."
aisb,Used to express satisfaction that things are happening the way they are expected to.,"Everything is going smoothly, AISB."
aisb,Used to express satisfaction that things are happening the way they are expected to.,"AISB, we need to stick to the original plan."
meh,Expresses indifference or lack of enthusiasm about something.  ,"That movie was MEH, nothing special."
meh,Expresses indifference or lack of enthusiasm about something.  ,"The food was MEH, not great but not terrible."
bt,"A defiant or dismissive response, similar to bite me.","If you don’t like my idea, BT."
bt,"A defiant or dismissive response, similar to bite me.","We’re currently BT, transitioning our systems."
mirl,Refers to something that represents the speaker’s real-life experience or personality.  ,"This meme is so relatable, it’s MIRL."
mirl,Refers to something that represents the speaker’s real-life experience or personality.  ,"We’ve been talking online for months, let’s MIRL soon."
ob,"An expression of excitement or admiration, often in a playful or affectionate tone.  ","That was an amazing shot, OB!"
ob,"An expression of excitement or admiration, often in a playful or affectionate tone.  ",You lost your keys again? OB!
mod,"Refers to someone who moderates discussions or content in forums, chatrooms, or games.  ",The MOD had to step in and calm things down.
mod,"Refers to someone who moderates discussions or content in forums, chatrooms, or games.  ",I downloaded a new MOD for the game.
e,"Refers to the drug Ecstasy, often used in conversations about parties or nightlife.",She was at the club on E last night.
e,"Refers to the drug Ecstasy, often used in conversations about parties or nightlife.","Watch out, E approaching from the left!"
ns,A compliment for getting a high or impressive score.  ,"You got 100 points, NS!"
ns,A compliment for getting a high or impressive score.  ,"That bowling split was tough, but NS!"
emfbi,A polite way to interrupt or join a conversation.,"EMFBI, but I think you’re mistaken about that."
emfbi,A polite way to interrupt or join a conversation.,"EMFBI, can I add something here?"
l8r,A shorthand way of saying “later” in informal texts or conversations.,"Gotta run, see you L8R!"
l8r,A shorthand way of saying “later” in informal texts or conversations.,I’ll catch you L8R!
eod,Refers to the end of the workday or business hours.,Please submit the report by EOD.
eod,Refers to the end of the workday or business hours.,"We’ve already decided, EOD."
55555,Used to represent an exaggerated level of sadness or tears.,"I lost my keys again, 55555!"
55555,Used to represent an exaggerated level of sadness or tears.,"That joke was hilarious, 55555!"
eol,"Signals the end of a talk, lecture, or presentation.","That’s all for today, EOL."
eol,"Signals the end of a talk, lecture, or presentation.",This software is nearing its EOL.
88,"A shorthand way of saying bye-bye, used in casual conversations.","I’ve got to go, 88!"
88,"A shorthand way of saying bye-bye, used in casual conversations.","Goodnight, 88!"
nfm,Used to indicate that you don’t want something being offered.  ,"I’ll pass on dessert, NFM."
nfm,Used to indicate that you don’t want something being offered.  ,"I tried it, but it’s NFM."
aaf,"Used to clarify or emphasize a point, similar to saying actually.","AAF, I did finish the report yesterday."
aaf,"Used to clarify or emphasize a point, similar to saying actually.",I only see him AAF.
aak,Used to explain that someone fell asleep while using their computer or phone.,"Sorry for the late response, I was AAK last night."
aak,Used to explain that someone fell asleep while using their computer or phone.,"Don’t worry about me, I’m still AAK!"
nfs,Refers to the popular racing video game *Need for Speed*.  ,I’m addicted to playing NFS.
nfs,Refers to the popular racing video game *Need for Speed*.  ,"That car is NFS, sorry!"
nfw,Used to express disbelief or surprise.  ,You got tickets to the concert? NFW!
nfw,Used to express disbelief or surprise.  ,"That meme is NFW, don’t open it here!"
eta,Used to ask when someone or something will arrive.,What’s your ETA? The meeting starts soon.
eta,Used to ask when someone or something will arrive.,ETA: I just found the missing files.
omg,"Commonly used to express surprise, excitement, or disbelief.  ","OMG, I can’t believe it!"
omg,"Commonly used to express surprise, excitement, or disbelief.  ","OMG, you look amazing!"
g,"Indicates a smile or grin, often in response to something funny or amusing.",That joke made me G.
g,"Indicates a smile or grin, often in response to something funny or amusing.","She told a funny story, I had to G."
